Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-04 00:00:00,1.262818,1.262818,1.262786,1.262786,0.000000
2019-01-04 00:03:00,1.262802,1.262802,1.262802,1.262802,0.000000
2019-01-04 00:05:00,1.262642,1.262642,1.262642,1.262642,0.000000
2019-01-04 00:06:00,1.262881,1.262881,1.262881,1.262881,0.000000
2019-01-04 00:08:00,1.262770,1.262770,1.262770,1.262770,0.000000
2019-01-04 00:10:00,1.262802,1.262802,1.262786,1.262786,0.000000
2019-01-04 00:13:00,1.262148,1.262148,1.262148,1.262148,0.000000
2019-01-04 00:15:00,1.261862,1.262180,1.261862,1.262180,0.000000
2019-01-04 00:18:00,1.262610,1.262610,1.262610,1.262610,0.000000
2019-01-04 00:20:00,1.262690,1.262722,1.262690,1.262722,0.000000
2019-01-04 00:23:00,1.262690,1.262690,1.262690,1.262690,0.000000
2019-01-04 00:25:00,1.262818,1.262897,1.262818,1.262897,0.000000
2019-01-04 00:28:00,1.262818,1.262818,1.262818,1.262818,0.000000
2019-01-04 00:30:00,1.262754,1.262770,1.262754,1.262770,0.000000
2019-01-04 00:33:00,1.262754,1.262754,1.262754,1.262754,0.000000
2019-01-04 00:35:00,1.262690,1.262770,1.262690,1.262770,0.000000
2019-01-04 00:38:00,1.262738,1.262738,1.262738,1.262738,0.000000
2019-01-04 00:39:00,1.262738,1.262738,1.262738,1.262738,0.000000
2019-01-04 00:41:00,1.262770,1.262770,1.262770,1.262770,0.000000
2019-01-04 00:43:00,1.262945,1.262945,1.262945,1.262945,0.000000
2019-01-04 00:45:00,1.262945,1.262945,1.262945,1.262945,0.000000
2019-01-04 00:46:00,1.262881,1.262881,1.262881,1.262881,0.000000
2019-01-04 00:48:00,1.262929,1.262929,1.262929,1.262929,0.000000
2019-01-04 00:50:00,1.263009,1.263025,1.263009,1.263025,0.000000
2019-01-04 00:53:00,1.263216,1.263216,1.263216,1.263216,0.000000
2019-01-04 00:54:00,1.263216,1.263216,1.263216,1.263216,0.000000
2019-01-04 00:56:00,1.263296,1.263296,1.263296,1.263296,0.000000
2019-01-04 00:58:00,1.263440,1.263440,1.263440,1.263440,0.000000
2019-01-04 01:00:00,1.263935,1.264015,1.263935,1.264015,0.000000
2019-01-04 01:03:00,1.263775,1.263775,1.263775,1.263775,0.000000
2019-01-04 01:05:00,1.263951,1.263951,1.263727,1.263727,0.000000
2019-01-04 01:08:00,1.263807,1.263807,1.263807,1.263807,0.000000
2019-01-04 01:10:00,1.263839,1.263839,1.263839,1.263839,0.000000
2019-01-04 01:11:00,1.263839,1.263839,1.263839,1.263839,0.000000
2019-01-04 01:13:00,1.263695,1.263695,1.263695,1.263695,0.000000
2019-01-04 01:15:00,1.263631,1.263631,1.263631,1.263631,0.000000
